,coefficient
crude_oil_ret_lag_2,-0.06551465238694776
crude_oil_ret_lag_1,-0.051295132149273226
rbob_gasoline_ret_lag_5,0.04851063550591785
rbob_gasoline_ret_lag_2,-0.04268443061448318
crude_oil_vol_21,0.041477939087685704
rbob_gasoline_ret_lag_1,0.03307506873061568
crude_oil_ret_lag_5,0.02777177763516362
brent_crude_oil_ret_lag_2,0.026277374170953178
natural_gas_ret_lag_2,0.021075969232196543
heating_oil_vol_21,0.017072481693098954
brent_crude_oil_ret_lag_5,0.01690603544412349
natural_gas_ret_lag_5,-0.013712301868460198
